message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.783317])";"30";"turtlesim3.sim";"1694792626.971321739";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.783317])";"30";"turtlesim2.sim";"1694792626.954940759";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.807652])";"30";"turtlesim3.sim";"1694792626.954929485";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.783317])";"30";"turtlesim1.sim";"1694792626.938880125";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.831986])";"30";"turtlesim3.sim";"1694792626.938467717";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.807652])";"30";"turtlesim2.sim";"1694792626.938458581";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.807652])";"30";"turtlesim1.sim";"1694792626.923510665";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.831986])";"30";"turtlesim2.sim";"1694792626.923126582";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.856320])";"30";"turtlesim3.sim";"1694792626.923084855";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.831986])";"30";"turtlesim1.sim";"1694792626.907424481";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.856320])";"30";"turtlesim2.sim";"1694792626.906721183";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.880654])";"30";"turtlesim3.sim";"1694792626.906655192";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.880654])";"30";"turtlesim2.sim";"1694792626.891381117";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.904989])";"30";"turtlesim3.sim";"1694792626.891359227";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.856320])";"30";"turtlesim1.sim";"1694792626.890952356";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.880654])";"30";"turtlesim1.sim";"1694792626.875381349";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.904989])";"30";"turtlesim2.sim";"1694792626.875022877";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.929323])";"30";"turtlesim3.sim";"1694792626.874977212";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.904989])";"30";"turtlesim1.sim";"1694792626.859296129";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.929323])";"30";"turtlesim2.sim";"1694792626.858633672";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.953657])";"30";"turtlesim3.sim";"1694792626.858559498";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.953657])";"30";"turtlesim2.sim";"1694792626.843298435";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.100263, y=2.977992])";"30";"turtlesim3.sim";"1694792626.843286770";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.929323])";"30";"turtlesim1.sim";"1694792626.842820060";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.109670, y=2.953657])";"30";"turtlesim1.sim";"1694792626.827300985";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.100263, y=2.977992])";"30";"turtlesim2.sim";"1694792626.826923720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.100263, y=2.977992])";"30";"turtlesim1.sim";"1694792626.810754471";"./src/turtle.cpp:update:260"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim1.sim";"1694792612.785760227";"./src/turtle_frame.cpp:spawnTurtle:209"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim2.sim";"1694792612.785590597";"./src/turtle_frame.cpp:spawnTurtle:209"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim3.sim";"1694792612.785362111";"./src/turtle_frame.cpp:spawnTurtle:209"
"Starting turtlesim with node name /turtlesim2/sim";"20";"turtlesim2.sim";"1694792612.781683381";"./src/turtle_frame.cpp:TurtleFrame:112"
"Starting turtlesim with node name /turtlesim3/sim";"20";"turtlesim3.sim";"1694792612.781573069";"./src/turtle_frame.cpp:TurtleFrame:112"
"Starting turtlesim with node name /turtlesim1/sim";"20";"turtlesim1.sim";"1694792612.781511674";"./src/turtle_frame.cpp:TurtleFrame:112"
